,feature,icc_value,c_down,c_up,sequence
338,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.79,0.66,0.91,dce
339,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.99,0.99,1.0,adc
340,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.52,0.35,0.74,dce
341,log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.71,0.55,0.86,adc
342,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.98,0.97,0.99,dce
343,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.99,0.98,1.0,adc
344,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.82,0.71,0.92,adc
345,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.56,0.38,0.77,dce
346,log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.82,0.7,0.92,adc
347,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.96,0.92,0.98,dce
348,log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.92,0.86,0.97,adc
349,log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.88,0.8,0.95,dce
350,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.98,0.96,0.99,dce
351,log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.63,0.46,0.82,adc
352,log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.96,0.93,0.99,adc
353,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.95,0.91,0.98,dce
354,log-sigma-2-0-mm-3D_glszm_ZonePercentage,0.99,0.98,1.0,adc
355,log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.95,0.91,0.98,dce
